batch,block,expert,token_count,router_conf_mean,vmem_abs_mean,vmem_var_t_mean,vmem_entropy_mean,spike_rate_mean,spike_entropy_mean,isi_mean,isi_cv_mean
0,0,0,3220,0.5832329988479614,3.5871469974517822,0.15268246829509735,0.974852442741394,0.32900679111480713,0.9999998807907104,1.0,0.0
0,0,1,876,0.5442209839820862,3.45740008354187,0.15574772655963898,0.9744146466255188,0.3121717870235443,0.9999998807907104,1.0,0.0
0,1,0,1845,0.6260631084442139,5.133251190185547,0.6421816349029541,0.9787582755088806,0.31497567892074585,0.9999998211860657,1.0,0.0
0,1,1,2251,0.6262848377227783,4.860332489013672,0.5546090006828308,0.9813153743743896,0.3190009295940399,0.9999998807907104,1.0,0.0
1,0,0,3311,0.6296139359474182,3.8442883491516113,0.18014557659626007,0.9812333583831787,0.32376113533973694,0.9999998211860657,1.0,0.0
1,0,1,785,0.5524662733078003,3.668773651123047,0.16679339110851288,0.9787518382072449,0.31773537397384644,0.9999998807907104,1.0,0.0
1,1,0,1787,0.6760755181312561,5.568342208862305,0.5231069922447205,0.9870074391365051,0.3166128396987915,0.9999998807907104,1.0,0.0
1,1,1,2309,0.6720706224441528,5.323563575744629,0.5017667412757874,0.986370325088501,0.32020795345306396,0.9999999403953552,1.0,0.0
2,0,0,3198,0.6300489902496338,3.842153787612915,0.19563999772071838,0.9806402325630188,0.316429078578949,0.9999998211860657,1.0,0.0
2,0,1,898,0.5361412167549133,3.516167640686035,0.16638623178005219,0.9765438437461853,0.3173697590827942,0.9999998807907104,1.0,0.0
2,1,0,1741,0.7485397458076477,5.841654300689697,0.7053532600402832,0.9863876104354858,0.3069233298301697,0.9999998807907104,1.0,0.0
2,1,1,2355,0.6943411827087402,5.3157267570495605,0.6266797184944153,0.9844357967376709,0.31439754366874695,0.9999998807907104,1.0,0.0
3,0,0,2712,0.6248100399971008,3.933192491531372,0.18314780294895172,0.9852705597877502,0.3027164041996002,0.9999998807907104,1.0,0.0
3,0,1,1384,0.5873498916625977,3.7589311599731445,0.1971757411956787,0.9833600521087646,0.292644739151001,0.9999998807907104,1.0,0.0
3,1,0,2259,0.7749094367027283,5.39065408706665,0.6788368225097656,0.9886826276779175,0.2703384459018707,0.9999998807907104,1.0,0.0
3,1,1,1837,0.7052130699157715,5.053967475891113,0.5887349247932434,0.9876289963722229,0.28087911009788513,0.9999998211860657,1.0,0.0
4,0,0,3109,0.5972433686256409,3.710782289505005,0.19076982140541077,0.9791751503944397,0.3091892898082733,0.9999998211860657,1.0,0.0
4,0,1,987,0.5715309977531433,3.771127462387085,0.19965440034866333,0.9804359078407288,0.3013618588447571,0.9999999403953552,1.0,0.0
4,1,0,1911,0.6995530128479004,5.230361461639404,0.7653940320014954,0.9848066568374634,0.2836969494819641,0.9999998807907104,1.0,0.0
4,1,1,2185,0.6597316265106201,4.964492321014404,0.5671078562736511,0.9841486215591431,0.3065859377384186,0.9999998807907104,1.0,0.0
5,0,0,3313,0.5872745513916016,3.7117676734924316,0.17950353026390076,0.9762006402015686,0.31854215264320374,0.9999998807907104,1.0,0.0
5,0,1,783,0.5537310838699341,3.8796606063842773,0.19496352970600128,0.9785317182540894,0.3089030385017395,0.9999998211860657,1.0,0.0
5,1,0,1854,0.6125364303588867,4.990302562713623,0.5333773493766785,0.9812239408493042,0.316123902797699,0.9999998211860657,1.0,0.0
5,1,1,2242,0.6819186210632324,5.227848052978516,0.512536883354187,0.9845309257507324,0.3152453899383545,0.9999998807907104,1.0,0.0
6,0,0,2993,0.6464259028434753,4.272008895874023,0.19335699081420898,0.9876649379730225,0.3032285273075104,0.9999999403953552,1.0,0.0
6,0,1,1103,0.594746470451355,3.9160823822021484,0.1932353973388672,0.9854994416236877,0.2968020737171173,0.9999998807907104,1.0,0.0
6,1,0,1744,0.7245256304740906,6.4677934646606445,0.8525251746177673,0.9895111322402954,0.27653002738952637,0.9999998807907104,1.0,0.0
6,1,1,2352,0.7405829429626465,5.982986927032471,0.7410537004470825,0.9902916550636292,0.2818475663661957,0.9999998807907104,1.0,0.0
7,0,0,2807,0.6298898458480835,4.029360771179199,0.20574763417243958,0.9847232103347778,0.29824697971343994,0.9999998807907104,1.0,0.0
7,0,1,1289,0.5856295228004456,3.761385440826416,0.19470128417015076,0.9836350083351135,0.28875038027763367,0.9999999403953552,1.0,0.0
7,1,0,1589,0.6968752145767212,6.0452094078063965,0.8372710347175598,0.9872668385505676,0.2770310640335083,0.9999998211860657,1.0,0.0
7,1,1,2507,0.7280233502388,5.571417808532715,0.7101013660430908,0.988655686378479,0.27772268652915955,0.9999998807907104,1.0,0.0
8,0,0,2967,0.6221441030502319,3.9221622943878174,0.19715480506420135,0.9850629568099976,0.29405322670936584,0.9999998807907104,1.0,0.0
8,0,1,1129,0.5844792723655701,3.8833391666412354,0.19751504063606262,0.9845914244651794,0.2829972505569458,0.9999998807907104,1.0,0.0
8,1,0,2209,0.7492743134498596,5.70696496963501,0.828129768371582,0.9894830584526062,0.2657783329486847,0.9999998807907104,1.0,0.0
8,1,1,1887,0.7043725848197937,5.215254783630371,0.7188143134117126,0.9887660145759583,0.26852455735206604,0.9999998211860657,1.0,0.0
9,0,0,2895,0.6242544651031494,4.077270030975342,0.2070515751838684,0.9822211861610413,0.3073382079601288,0.9999999403953552,1.0,0.0
9,0,1,1201,0.5779927372932434,4.00753927230835,0.22920840978622437,0.9809178113937378,0.29572558403015137,0.9999998807907104,1.0,0.0
9,1,0,1454,0.6967291831970215,5.865728855133057,0.6505005359649658,0.9882855415344238,0.2844674587249756,0.9999999403953552,1.0,0.0
9,1,1,2642,0.730354905128479,5.521972179412842,0.5943094491958618,0.9882059097290039,0.28869864344596863,0.9999998807907104,1.0,0.0
10,0,0,2880,0.6243928074836731,4.019252777099609,0.2018899768590927,0.9837008118629456,0.30527183413505554,0.9999999403953552,1.0,0.0
10,0,1,1216,0.5804110169410706,3.9856536388397217,0.21736134588718414,0.9831723570823669,0.2948036789894104,0.9999998807907104,1.0,0.0
10,1,0,1278,0.694026529788971,5.928310394287109,0.8320379257202148,0.9892604947090149,0.27308571338653564,0.9999998807907104,1.0,0.0
10,1,1,2818,0.7294256687164307,5.516838550567627,0.6969117522239685,0.9892306327819824,0.2856175899505615,0.9999999403953552,1.0,0.0
11,0,0,2738,0.6220037937164307,4.093338489532471,0.19188648462295532,0.9835292100906372,0.30999577045440674,0.9999999403953552,1.0,0.0
11,0,1,1358,0.5799077153205872,3.9544100761413574,0.20510709285736084,0.9817849397659302,0.2995973229408264,0.9999999403953552,1.0,0.0
11,1,0,1759,0.7023028135299683,5.378401279449463,0.6002413034439087,0.9867903590202332,0.3037048280239105,0.9999998807907104,1.0,0.0
11,1,1,2337,0.7340188026428223,5.439501762390137,0.6245585680007935,0.9883754849433899,0.29501479864120483,0.9999998807907104,1.0,0.0
12,0,0,2844,0.5970157384872437,4.025241851806641,0.18466143310070038,0.9803761839866638,0.31970980763435364,0.9999998807907104,1.0,0.0
12,0,1,1252,0.5498411655426025,3.750110387802124,0.1686961054801941,0.978795051574707,0.32228901982307434,0.9999998807907104,1.0,0.0
12,1,0,2157,0.6906870603561401,5.740481376647949,0.646014928817749,0.9854806661605835,0.3108663260936737,0.9999998807907104,1.0,0.0
12,1,1,1939,0.6987838745117188,5.415432453155518,0.5800775289535522,0.9857337474822998,0.31537845730781555,0.9999998807907104,1.0,0.0
13,0,0,3161,0.6282549500465393,3.9424610137939453,0.1825152337551117,0.9819936752319336,0.31849727034568787,0.9999998211860657,1.0,0.0
13,0,1,935,0.5685105919837952,3.85636305809021,0.2259882539510727,0.9821144938468933,0.3051554262638092,0.9999998807907104,1.0,0.0
13,1,0,1733,0.7073172926902771,5.774442672729492,0.6412270665168762,0.9880577921867371,0.2948794960975647,0.9999998211860657,1.0,0.0
13,1,1,2363,0.6882930397987366,5.359838962554932,0.6402497291564941,0.9863985776901245,0.3025765120983124,0.9999998807907104,1.0,0.0
14,0,0,2975,0.6061744689941406,3.8858397006988525,0.16360482573509216,0.9800503253936768,0.32205936312675476,0.9999999403953552,1.0,0.0
14,0,1,1121,0.5542150735855103,3.772519111633301,0.17736433446407318,0.9793277382850647,0.3122951090335846,0.9999998807907104,1.0,0.0
14,1,0,1877,0.7193054556846619,5.595217227935791,0.6330786347389221,0.9869155287742615,0.30209338665008545,0.9999998807907104,1.0,0.0
14,1,1,2219,0.6686777472496033,5.3165483474731445,0.6108415722846985,0.9853555560112,0.30841878056526184,0.9999999403953552,1.0,0.0
15,0,0,3387,0.6069211959838867,3.9357306957244873,0.16082951426506042,0.9837859869003296,0.3199479579925537,0.9999998807907104,1.0,0.0
15,0,1,709,0.562393307685852,3.8443238735198975,0.16791298985481262,0.9845272302627563,0.305156946182251,0.9999999403953552,1.0,0.0
15,1,0,2217,0.7222028374671936,5.810676097869873,0.5937721133232117,0.9877318143844604,0.3042047321796417,0.9999998807907104,1.0,0.0
15,1,1,1879,0.679492175579071,5.344202518463135,0.46991634368896484,0.9886496663093567,0.313010573387146,0.9999998807907104,1.0,0.0
